year,gestation_age,live_births,percent_live_births
2010,<32 weeks,911.0,1.7
2010,32-36 weeks,5004.0,9.4
2010,37-39 weeks,36502.0,68.9
2010,40-41 weeks,10418.0,19.7
2010,42+ weeks,150.0,0.3
2010,Unknown,220.0,0.0
2011,<32 weeks,869.0,1.7
2011,32-36 weeks,4764.0,9.1
2011,37-39 weeks,35632.0,68.4
2011,40-41 weeks,10697.0,20.5
2011,42+ weeks,142.0,0.3
2011,Unknown,148.0,0.0
2012,<32 weeks,856.0,1.6
2012,32-36 weeks,4851.0,9.2
2012,37-39 weeks,36109.0,68.7
2012,40-41 weeks,10583.0,20.1
2012,42+ weeks,146.0,0.3
2012,Unknown,195.0,0.0
2013,<32 weeks,839.0,1.6
2013,32-36 weeks,4786.0,9.0
2013,37-39 weeks,36577.0,68.7
2013,40-41 weeks,10939.0,20.5
2013,42+ weeks,129.0,0.2
2013,Unknown,81.0,0.0
2014,<32 weeks,883.0,1.7
2014,32-36 weeks,4595.0,8.6
2014,37-39 weeks,36489.0,68.6
2014,40-41 weeks,11091.0,20.8
2014,42+ weeks,139.0,0.3
2014,Unknown,89.0,0.0
2015,<32 weeks,822.0,1.5
2015,32-36 weeks,4663.0,8.8
2015,37-39 weeks,36592.0,68.9
2015,40-41 weeks,10862.0,20.5
2015,42+ weeks,132.0,0.2
2015,Unknown,61.0,0.0
2016,<32 weeks,802.0,1.5
2016,32-36 weeks,4796.0,9.1
2016,37-39 weeks,36416.0,69.3
2016,40-41 weeks,10388.0,19.8
2016,42+ weeks,144.0,0.3
2016,Unknown,61.0,0.0
2017,<32 weeks,870.0,1.7
2017,32-36 weeks,4712.0,9.4
2017,37-39 weeks,34968.0,69.8
2017,40-41 weeks,9484.0,18.9
2017,42+ weeks,97.0,0.2
2017,Unknown,83.0,0.0
2018,<32 weeks,822.0,1.7
2018,32-36 weeks,4845.0,9.7
2018,37-39 weeks,35364.0,71.1
2018,40-41 weeks,8626.0,17.3
2018,42+ weeks,92.0,0.2
2018,Unknown,52.0,0.0
2019,<32 weeks,792.0,1.6
2019,32-36 weeks,4857.0,9.9
2019,37-39 weeks,35517.0,72.3
2019,40-41 weeks,7873.0,16.0
2019,42+ weeks,76.0,0.2
2019,Unknown,28.0,0.0
2020,<32 weeks,716.0,1.5
2020,32-36 weeks,4594.0,9.7
2020,37-39 weeks,34779.0,73.2
2020,40-41 weeks,7357.0,15.5
2020,42+ weeks,95.0,0.2
2020,Unknown,76.0,0.0
2021,<32 weeks,852.0,1.8
2021,32-36 weeks,4914.0,10.2
2021,37-39 weeks,35294.0,73.0
2021,40-41 weeks,7201.0,14.9
2021,42+ weeks,67.0,0.1
2021,Unknown,84.0,0.0
2022,<32 weeks,796.0,1.7
2022,32-36 weeks,4660.0,9.7
2022,37-39 weeks,35015.0,72.6
2022,40-41 weeks,7682.0,15.9
2022,42+ weeks,83.0,0.2
2022,Unknown,78.0,0.0
2023,<32 weeks,765.0,1.6
2023,32-36 weeks,4512.0,9.4
2023,37-39 weeks,34913.0,73.0
2023,40-41 weeks,7546.0,15.8
2023,42+ weeks,82.0,0.2
2023,Unknown,77.0,0.0
2024,<32 weeks,754.0,1.6
2024,32-36 weeks,4515.0,9.4
2024,37-39 weeks,35031.0,73.2
2024,40-41 weeks,7503.0,15.7
2024,42+ weeks,79.0,0.2
2024,Unknown,65.0,0.0
